Carimbo de data/hora,Nickname,TAG,Data:,Horário do INÍCIO da instrução:,Curso aplicado: ,Nick(s) do(s) aluno(s) presente(s):,Nick(s) do(s) aluno(s) aprovado(s):,Comentários:,Pontos:,,Nickname,Pontos:,CFSd,CFC1,CFC2,CAP,CODE,,,,,,,,,,
05/11/2018 13:49:47,-Artemisa,[Art],05/11/2018,13:32:00,Curso de Formação de Soldados (CFSd), newBianca04 , newBianca04 ,-,2,,Marcus.28.,7,2,1,1,0,#REF!,,,,,,,,,,
05/11/2018 16:16:40,-Artemisa,[Art],05/11/2018,16:05:00,Curso de Formação de Soldados (CFSd),Fernaks / -JuliaaOliveira ,Fernaks / -JuliaaOliveira ,-,2,,Colar o nick,,,,,,,,,,,,,,,,
05/11/2018 20:33:05,-Artemisa,[Art],05/11/2018,20:23:00,Curso de Formação de Soldados (CFSd),PruPruGru,PruPruGru,-,2,,do maluco,,,,,Marcus.28.,: ,2, CFSd / ,1, CFC1 / ,1, CFC2 / ,0, CAP | [b] ,7, Pontos[/b] 
08/11/2018 20:20:53,-Artemisa,[Art],08/11/2018,20:08:00,Curso de Formação de Soldados (CFSd),sportfaell / donovandasilva ,sportfaell / donovandasilva ,-,2,,ali em cima,,,Nickname,Curso aplicado: ,,,,,,,,,,,,Copiar toda a linha amarela
04/11/2018 19:33:49,-Desconhecido-_,[Dco],04/11/2018,19:17:00,Curso de Formação de Soldados (CFSd),BrunnaRaffaela8 /  eiviperwolf,eiviperwolf,"Foi uma boa aula, pena que um não passou.",2,,,,,Marcus.28.,Curso de Formação de Soldados (CFSd),,,,,,,,,,,,
04/11/2018 23:02:20,-Desconhecido-_,[Dco],04/11/2018,22:44:00,Curso de Formação de Cabos (Parte 1) (CFC1),Mallunica,Mallunica,Ótima aula!,2,,,,,,2,,,,,,,,,,,,
04/11/2018 23:18:30,-Desconhecido-_,[Dco],04/11/2018,23:04:00,Curso de Formação de Cabos (Parte 2) (CFC2),Mallunica,,"Estava rendendo, até ela sair da sala e ficar on.",1,,,,,Nickname,Curso aplicado: ,,,,,,,,,,,,
07/11/2018 21:59:50,-Desconhecido-_,[Dco],07/11/2018,20:58:00,Curso de Formação de Soldados (CFSd),SilvioSaint.    joao44651     AdrianEnigma         yTowakOff,   AdrianEnigma      SilvioSaint.,"Foi uma aula boa, pena que os outros não passaram.",2,,,,,Marcus.28.,Curso de Formação de Cabos (Parte 1) (CFC1),,,,,,,,,,,,
09/11/2018 11:49:03,-Desconhecido-_,[Dco],09/11/2018,11:32:00,Curso de Formação de Cabos (Parte 1) (CFC1),rodrigo43888,rodrigo43888,Ótima aula!!!,2,,,,,,1,,,,,,,,,,,,
09/11/2018 12:02:04,-Desconhecido-_,[Dco],09/11/2018,11:49:00,Curso de Formação de Cabos (Parte 2) (CFC2),rodrigo43888,, O Cabo reclamou da Internet lenta e disse que iria fazer outra hora.,1,,,,,Nickname,Curso aplicado: ,,,,,,,,,,,,
